CardID,R_Score,F_Score,M_Score,RFM_Segment,Segment
C0100156449,2,2,2,222,Other
C0100156741,5,2,3,523,Other
C0100156934,4,3,2,432,Other
C0100156970,1,3,4,134,Other
C0100157320,2,5,5,255,Other
C0100157391,5,1,5,515,Other
C0100157885,1,1,1,111,Other
C0100157975,4,5,5,455,Lovers
C0100158058,1,5,4,154,Other
C0100158196,3,5,5,355,Other
C0100158395,1,5,3,153,Other
C0100158599,5,1,1,511,Apprentice
C0100158704,3,1,4,314,Other
C0100158722,2,1,5,215,Other
C0100158850,1,1,4,114,Other
C0100158927,1,2,1,121,Other
C0100158984,1,1,1,111,Other
C0100159416,2,5,4,254,Other
C0100159626,3,5,1,351,Other
C0100159653,1,1,3,113,Other
C0100159790,4,1,1,411,Other
C0100160143,2,4,3,243,Other
C0100160216,3,1,5,315,Other
C0100160504,4,1,1,411,Other
C0100160556,2,3,2,232,Other
C0100160628,2,1,4,214,Other
C0100160838,2,1,1,211,Other
C0100161182,5,1,2,512,Other
C0100161382,5,5,5,555,Soulmates
C0100161775,2,3,3,233,Other
C0100161808,4,3,2,432,Other
C0100161967,4,4,5,445,Lovers
C0100162122,4,3,2,432,Other
C0100162193,2,2,5,225,Other
C0100162268,2,3,2,232,Other
C0100162336,2,2,2,222,Other
C0100162795,2,3,2,232,Other
C0100162811,2,2,2,222,Other
C0100163043,5,2,5,525,Other
C0100163136,1,5,4,154,Other
C0100163412,3,1,4,314,Other
C0100163494,2,4,3,243,Other
C0100163551,2,3,2,232,Other
C0100164425,5,2,2,522,Other
C0100164843,3,3,3,333,Other
C0100165500,5,5,5,555,Soulmates
C0100165559,5,2,2,522,Other
C0100166115,5,5,5,555,Soulmates
C0100166183,1,5,4,154,Other
C0100166567,4,3,3,433,Other
C0100167210,5,2,2,522,Other
C0100167267,2,2,3,223,Other
C0100167445,3,1,3,313,Other
C0100167717,4,5,5,455,Lovers
C0100167847,5,1,5,515,Other
C0100168020,1,2,5,125,Other
C0100168153,4,2,1,421,Other
C0100168209,4,2,2,422,Other
C0100168348,5,5,5,555,Soulmates
C0100168910,5,5,5,555,Soulmates
C0100169151,3,5,5,355,Other
C0100169274,4,2,3,423,Other
C0100169447,1,5,2,152,Other
C0100169568,5,3,4,534,Other
C0100169654,5,4,4,544,Lovers
C0100169707,5,1,2,512,Other
C0100169819,2,2,4,224,Other
C0100169907,3,2,1,321,Other
C0100170507,1,1,3,113,Other
C0100170777,5,2,1,521,Other
C0100170971,2,2,4,224,Other
C0100171431,1,4,4,144,Other
C0100171511,1,5,3,153,Other
C0100171636,3,2,2,322,Other
C0100171930,2,3,2,232,Other
